Ano: 1989 | Categoria: 92_MUSICAL_INSTRUMENTS_PARTS_AND_ACCESSORIES | Máximo: 631970447.0 | Mínimo: 6.0
Ano: 1989 | Categoria: 12_OIL_SEED_OLEAGIC_FRUITS_GRAIN_SEED_FRUIT_ETC_NE | Máximo: 1346617367.0 | Mínimo: 6.0
Ano: 1989 | Categoria: 95_TOYS_GAMES_SPORTS_REQUISITES | Máximo: 248260992.0 | Mínimo: 2.0
Ano: 1989 | Categoria: 13_LAC_GUMS_RESINS_VEGETABLE_SAPS_AND_EXTRACTS_NES | Máximo: 65817279.0 | Mínimo: 14.0
Ano: 1989 | Categoria: 46_MANUFACTURES_OF_PLAITING_MATERIAL_BASKETWORK_ETC | Máximo: 92800245.0 | Mínimo: 6.0
Ano: 1989 | Categoria: 22_BEVERAGES_SPIRITS_AND_VINEGAR | Máximo: 604513984.0 | Mínimo: 6.0
Ano: 1989 | Categoria: 33_ESSENTIAL_OILS_PERFUMES_COSMETICS_TOILETERIES | Máximo: 224928000.0 | Mínimo: 7.0
Ano: 1989 | Categoria: 57_CARPETS_AND_OTHER_TEXTILE_FLOOR_COVERINGS | Máximo: 673196032.0 | Mínimo: 25.0
Ano: 1989 | Categoria: 64_FOOTWEAR_GAITERS_AND_THE_LIKE_PARTS_THEREOF | Máximo: 1262904960.0 | Mínimo: 19.0
Ano: 1989 | Categoria: 08_EDIBLE_FRUIT_NUTS_PEEL_OF_CITRUS_FRUIT_MELONS | Máximo: 419620000.0 | Mínimo: 14.0
Ano: 1989 | Categoria: 31_FERTILIZERS | Máximo: 1004746790.0 | Mínimo: 1.0
Ano: 1989 | Categoria: 19_CEREAL_FLOUR_STARCH_MILK_PREPARATIONS_AND_PRODUCTS | Máximo: 304175008.0 | Mínimo: 10.0
Ano: 1989 | Categoria: 52_COTTON | Máximo: 397993718.0 | Mínimo: 5.0
Ano: 1989 | Categoria: 18_COCOA_AND_COCOA_PREPARATIONS | Máximo: 373340992.0 | Mínimo: 10.0
Ano: 1989 | Categoria: 36_EXPLOSIVES_PYROTECHNICS_MATCHES_PYROPHORICS_ETC | Máximo: 29536333.0 | Mínimo: 16.0
Ano: 1989 | Categoria: 54_MANMADE_FILAMENTS | Máximo: 438918016.0 | Mínimo: 156.0
Ano: 1989 | Categoria: 94_FURNITURE_LIGHTING_SIGNS_PREFABRICATED_BUILDINGS | Máximo: 963372032.0 | Mínimo: 29.0
Ano: 1989 | Categoria: 14_VEGETABLE_PLAITING_MATERIALS_VEGETABLE_PRODUCTS_NES | Máximo: 52403904.0 | Mínimo: 19.0
Ano: 1989 | Categoria: 43_FURSKINS_AND_ARTIFICIAL_FUR_MANUFACTURES_THEREOF | Máximo: 358460255.0 | Mínimo: 10.0
Ano: 1989 | Categoria: 62_ARTICLES_OF_APPAREL_ACCESSORIES_NOT_KNIT_OR_CROCHET | Máximo: 104007803.0 | Mínimo: 8.0
Ano: 1989 | Categoria: 21_MISCELLANEOUS_EDIBLE_PREPARATIONS | Máximo: 339376000.0 | Mínimo: 15.0
Ano: 1989 | Categoria: 60_KNITTED_OR_CROCHETED_FABRIC | Máximo: 166836992.0 | Mínimo: 24.0
Ano: 1989 | Categoria: 80_TIN_AND_ARTICLES_THEREOF | Máximo: 428755378.0 | Mínimo: 15.0
Ano: 1989 | Categoria: 85_ELECTRICAL_ELECTRONIC_EQUIPMENT | Máximo: 202452040.0 | Mínimo: 454.0
Ano: 1989 | Categoria: 03_FISH_CRUSTACEANS_MOLLUSCS_AQUATIC_INVERTEBRATES_NE | Máximo: 288549152.0 | Mínimo: 20.0
Ano: 1989 | Categoria: 67_BIRD_SKIN_FEATHERS_ARTIFICIAL_FLOWERS_HUMAN_HAIR | Máximo: 109914457.0 | Mínimo: 18.0
Ano: 1989 | Categoria: 88_AIRCRAFT_SPACECRAFT_AND_PARTS_THEREOF | Máximo: 5754960896.0 | Mínimo: 110.0
Ano: 1989 | Categoria: 25_SALT_SULPHUR_EARTH_STONE_PLASTER_LIME_AND_CEMENT | Máximo: 503647154.0 | Mínimo: 8.0
Ano: 1989 | Categoria: 34_SOAPS_LUBRICANTS_WAXES_CANDLES_MODELLING_PASTES | Máximo: 311700992.0 | Mínimo: 9.0
Ano: 1989 | Categoria: 56_WADDING_FELT_NONWOVENS_YARNS_TWINE_CORDAGE_ETC | Máximo: 550275008.0 | Mínimo: 4.0
Ano: 1989 | Categoria: 40_RUBBER_AND_ARTICLES_THEREOF | Máximo: 297204279.0 | Mínimo: 20.0
Ano: 1989 | Categoria: 48_PAPER_PAPERBOARD_ARTICLES_OF_PULP_PAPER_AND_BOARD | Máximo: 4791327952.0 | Mínimo: 9.0
Ano: 1989 | Categoria: 75_NICKEL_AND_ARTICLES_THEREOF | Máximo: 729355008.0 | Mínimo: 7.0
Ano: 1989 | Categoria: 50_SILK | Máximo: 357991374.0 | Mínimo: 1.0
Ano: 1989 | Categoria: 15_ANIMAL_VEGETABLE_FATS_AND_OILS_CLEAVAGE_PRODUCTS_ET | Máximo: 301341824.0 | Mínimo: 2.0
Ano: 1989 | Categoria: 44_WOOD_AND_ARTICLES_OF_WOOD_WOOD_CHARCOAL | Máximo: 4544962780.0 | Mínimo: 6.0
Ano: 1989 | Categoria: 81_OTHER_BASE_METALS_CERMETS_ARTICLES_THEREOF | Máximo: 111581015.0 | Mínimo: 3.0
